Code,Name
SBN,South Bend Regional Airport
BRL,Southeast Iowa Regional Airport
BPT,Southeast Texas Regional Airport
VCV,Southern California Logistics Airport
MDH,Southern Illinois Airport
JVL,Southern Wisconsin Regional Airport
RSW,Southwest Florida International Airport
ABY,Southwest Georgia Regional Airport
BEH,Southwest Michigan Regional Airport
TIX,Space Coast Regional Airport
SUS,Spirit Of St Louis Airport
GEG,Spokane International Airport
SGF,Springfield Branson Regional Airport
SGH,Springfield-Beckley Municipal Airport
SGJ,St Augustine Airport
STC,St Cloud Regional Airport
SGU,St George Municipal Airport
ALN,St Louis Regional Airport
KSM,St Mary's Airport
STP,St Paul Downtown Airport / Holman Field
PIE,St. Petersburg-Clearwater International Airport
WBB,Stebbins Airport
SWF,Stewart International Airport
SWO,Stillwater Regional Airport
SCK,Stockton Metropolitan Airport
MSV,Sullivan County International Airport
GED,Sussex County Airport
SYR,Syracuse Hancock International Airport
PVD,T.F. Green Airport
TLH,Tallahassee Regional Airport
ASN,Talladega Municipal Airport
TPA,Tampa International Airport
SKX,Taos Regional Airport
TEX,Telluride Regional Airport
HUF,Terre Haute International Airport
TEB,Teterboro Airport
TXK,Texarkana Regional Airport
TVF,Thief River Falls Regional Airport
KTB,Thorne Bay Airport
TNI,Tinian International Airport
TOG,Togiak Airport
OOK,Toksook Bay Airport
TOL,Toledo Express Airport
PQL,Trent Lott International Airport
TTN,Trenton Mercer Airport
PSC,Tri-Cities Airport
TRI,Tri-Cities Regional Airport
HTS,Tri-State Airport
T44,Trident Basin Seaplane Base
TUS,Tucson International Airport
TUL,Tulsa International Airport
TLT,Tuluksak Airport
A61,Tuntutuliak Airport
TUP,Tupelo Regional Airport
TCL,Tuscaloosa Regional Airport
HVN,Tweed New Haven Regional Airport
TYR,Tyler Pounds Regional Airport
UNK,Unalakleet Airport
DUT,Unalaska Airport
UNV,University Park Airport
UOX,University-Oxford Airport
VDZ,Valdez Pioneer Field
VLD,Valdosta Regional Airport
HRL,Valley International Airport
FKL,Venango Regional Airport
DNV,Vermilion County Airport
VRB,Vero Beach Municipal Airport
TVR,Vicksburg Tallulah Regional Airport
VCT,Victoria Regional Airport
VQS,Vieques Airport
VIS,Visalia Municipal Airport
BTL,W K Kellogg Airport
ACT,Waco Regional Airport
MUE,Waimea - Kohala Airport
AWI,Wainwright Airport
GJT,Walker Field Airport
ALW,Walla Walla Regional Airport
IAD,Washington Dulles International Airport
OXC,Waterbury-Oxford Airport
ALO,Waterloo Regional Airport
ART,Watertown International Airport
ATY,Watertown Municipal Airport
TBN,Waynesville Regional Airport At Forney Field
WYS,West Yellowstone Airport
HPN,Westchester County Airport
WST,Westerly State Airport
BFF,Western Nebraska Regional Airport
CEF,Westover Metropolitan Airport
SQI,Whiteside County Airport
SPS,Wichita Falls Municipal Airport
ICT,Wichita Mid-Continent Airport
BRW,Wiley Post-Will Rogers Memorial Airport
AVP,Wilkes-Barre/Scranton International Airport
OKC,Will Rogers World Airport
DDH,William H. Morse State Airport
CLM,William R Fairchild International Airport
IWA,Williams Gateway Airport
MWA,Williamson County Regional Airport
IPT,Williamsport Regional Airport
ILL,Willmar Municipal Airport
ILM,Wilmington International Airport
OSH,Wittman Regional Airport
GGW,Wokal Field/Glasgow International Airport
WDG,Woodring Municipal Airport
ORH,Worcester Regional Airport
WRL,Worland Municipal Airport
OTG,Worthington Municipal Airport
WRG,Wrangell Airport
YKM,Yakima Air Terminal/Mcallister Field
YAK,Yakutat Airport
HDN,Yampa Valley Regional Airport
COD,Yellowstone Regional Airport
YNG,Youngstown Regional Airport
YUM,Yuma International Airport
